"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"950","RT @warresistersint: Our copies of Piecing it Together in #Catalan have arrived and look great. Thanks @ICIPeace #Catalonia https://t.co/Pz…",FALSE,0,NA,2017-11-30 15:30:05,FALSE,NA,"936256023077244929",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DirenenSerdar",5,TRUE,FALSE,NA,NA
"951","RT @denterd: The Spanish ""democracy"" forbids the yellow awareness ribbons (to show solidarity with the jailed ministers of #Catalonia) duri…",FALSE,0,NA,2017-11-30 15:29:37,FALSE,NA,"936255904445583360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ballyhea14",2130,TRUE,FALSE,NA,NA
"952","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:29:32,FALSE,NA,"936255886540066816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarlesSbt",637,TRUE,FALSE,NA,NA
"953","RT @denterd: The Spanish ""democracy"" forbids the yellow awareness ribbons (to show solidarity with the jailed ministers of #Catalonia) duri…",FALSE,0,NA,2017-11-30 15:28:14,FALSE,NA,"936255557303812101",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustaHongKonger",2130,TRUE,FALSE,NA,NA
"954","Get the #xmas party started with great #cava #reserva from #Catalonia @girodelgorner https://t.co/lHgzqN1UEj",FALSE,1,NA,2017-11-30 15:28:08,FALSE,NA,"936255530896646146",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BuyCatalanWines",0,FALSE,FALSE,NA,NA
"955","RT @Ferdinan579: #Finanzas Tourists gave #Barcelona a miss as #Catalonia crisis raged https://t.co/EgKJ8bd6uS  https://t.co/CQNgKNv4T1 #Bue…",FALSE,0,NA,2017-11-30 15:26:47,FALSE,NA,"936255194098216960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ferdinan579",1,TRUE,FALSE,NA,NA
"956","#Finanzas Tourists gave #Barcelona a miss as #Catalonia crisis raged https://t.co/EgKJ8bd6uS… https://t.co/pvcclSNEo0",FALSE,0,NA,2017-11-30 15:26:38,TRUE,NA,"936255155594584064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ferdinan579",1,FALSE,FALSE,NA,NA
"957","RT @denterd: The Spanish ""democracy"" forbids the yellow awareness ribbons (to show solidarity with the jailed ministers of #Catalonia) duri…",FALSE,0,NA,2017-11-30 15:26:15,FALSE,NA,"936255059251400707",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","immacaboti",2130,TRUE,FALSE,NA,NA
"958","The similarities between #Catalonia and #Scotland always amaze me but I love it. #Solidarity https://t.co/seWEClnCXM",FALSE,6,NA,2017-11-30 15:23:41,FALSE,NA,"936254414456795136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ForfarFairLady",6,FALSE,FALSE,NA,NA
"959","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:23:16,FALSE,NA,"936254310249353216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Isabelmvico",637,TRUE,FALSE,NA,NA
